"Date","Time","Event Name","URL","Load Time (ms)","Time to First Byte (ms)","unused","Bytes Out","Bytes In","DNS Lookups","Connections","Requests","OK Responses","Redirects","Not Modified","Not Found","Other Responses","Error Code","Time to Start Render (ms)","Segments Transmitted","Segments Retransmitted","Packet Loss (out)","Activity Time(ms)","Descriptor","Lab ID","Dialer ID","Connection Type","Cached","Event URL","Pagetest Build","Measurement Type","Experimental","Doc Complete Time (ms)","Event GUID","Time to DOM Element (ms)","Includes Object Data","Cache Score","Static CDN Score","One CDN Score","GZIP Score","Cookie Score","Keep-Alive Score","DOCTYPE Score","Minify Score","Combine Score","Bytes Out (Doc)","Bytes In (Doc)","DNS Lookups (Doc)","Connections (Doc)","Requests (Doc)","OK Responses (Doc)","Redirects (Doc)","Not Modified (Doc)","Not Found (Doc)","Other Responses (Doc)","Compression Score","Host","IP Address","ETag Score","Flagged Requests","Flagged Connections","Max Simultaneous Flagged Connections","Time to Base Page Complete (ms)","Base Page Result","Gzip Total Bytes","Gzip Savings","Minify Total Bytes","Minify Savings","Image Total Bytes","Image Savings","Base Page Redirects","Optimization Checked","AFT (ms)","DOM Elements","PageSpeed Version","Page Title","Time to Title","Load Event Start","Load Event End","DOM Content Ready Start","DOM Content Ready End","Visually Complete (ms)","Browser Name","Browser Version","Base Page Server Count","Base Page Server RTT","Base Page CDN","Adult Site","Run","Cached","Speed Index"
"03/13/2015","11:23:12","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","5134","1541","","21593","18115","2","2","18","11","3","2","0","4","0","1584","","","","5134","","","","","0","","","2","0","5134","","","1","0","0","-1","100","-1","100","-1","-1","100","18521","16655","2","2","18","11","3","2","0","0","-1","","","-1","","","","1541","200","3392","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","1281","3411","4317","1600","1789","4784","Google Chrome","41.0.2272.89","12","40","","0","4","0","3922",
"03/13/2015","11:23:26","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","3221","654","","23703","29572","0","2","23","16","3","2","0","2","0","724","","","","5750","","","","","0","","","2","0","3221","","","1","0","50","-1","100","-1","100","-1","-1","100","6769","3119","0","0","5","3","0","2","0","0","-1","","","-1","","","","654","200","13081","0","","","0","0","0","1","","1834","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","21","3418","4159","973","1152","4424","Google Chrome","41.0.2272.89","12","40","","0","4","0","3922",
"03/13/2015","11:30:45","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","9637","602","","54359","2530411","29","45","96","85","8","1","0","2","0","4527","","","","12574","","","","","0","","","2","0","9637","","","1","71","88","-1","100","-1","98","-1","-1","100","27556","2415860","10","23","61","59","1","1","0","0","100","","","-1","","","","629","200","1446626","0","","","468053","0","0","1","","896","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","891","9588","10002","2723","3430","12394","Google Chrome","41.0.2272.89","1","46","Akamai","0","5","0","4775",
"03/13/2015","11:31:05","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","3907","949","","38506","870829","4","9","56","49","3","2","0","2","0","2287","","","","7936","","","","","0","","","2","0","3907","","","1","74","92","-1","97","-1","100","-1","-1","100","6949","177128","1","2","8","7","1","0","0","0","100","","","-1","","","","1055","200","186050","4678","","","276635","0","0","1","","1235","","Cameras | Buy Best Photography Cameras & Lenses | Sony UK","1284","3844","4243","3667","3843","7987","Google Chrome","41.0.2272.89","1","44","Akamai","0","5","0","4775",
"03/13/2015","11:31:21","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","5139","1534","","47599","2203772","0","4","50","43","3","2","0","2","0","2589","","","","8639","","","","","0","","","2","0","5139","","","1","70","93","-1","100","-1","100","-1","-1","100","21709","678361","0","2","19","17","0","2","0","0","100","","","-1","","","","1703","200","192592","0","","","28485","0","0","1","","1827","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","1786","5077","5727","3114","3343","5389","Google Chrome","41.0.2272.89","1","44","Akamai","0","5","0","4775",
"03/13/2015","11:31:37","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","6015","1920","","20574","1715606","1","3","29","27","0","2","0","0","0","3186","","","","6726","","","","","0","","","2","0","6015","","","1","80","95","-1","100","-1","100","-1","-1","100","20574","1318192","1","3","29","27","0","2","0","0","100","","","-1","","","","2038","200","336705","0","","","105162","0","0","1","","1763","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","2083","0","0","2968","3280","7086","Google Chrome","41.0.2272.89","1","44","Akamai","0","5","0","4775",
"03/13/2015","11:31:54","","http://www.sony.co.uk/?perf=13Mar1500pmsl_hp","2393","1369","","26575","38547","6","3","22","13","4","2","0","4","99999","1554","","","","4100","","","","","0","","","2","0","2393","","","1","5","0","-1","100","-1","100","-1","-1","100","12518","16137","3","1","8","4","1","2","0","0","-1","","","-1","","","","1369","200","2950","0","","","0","0","0","1","","894","","Sony UK | Latest Technology & News | Electronics | Entertainment | Sony UK","253","2194","2678","1413","1542","2969","Google Chrome","41.0.2272.89","8","39","","0","5","0","4775",
"03/13/2015","11:32:06","","http://www.sony.co.uk/electronics/cameras?perf=13Mar1500pmsl_cp","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","","","","225","","","","","0","","","2","0","0","","","1","-1","-1","-1","-1","-1","-1","-1","-1","100","0","0","0","0","0","0","0","0","0","0","-1","","","-1","","","","0","0","0","0","","","0","0","0","1","","0","","","0","0","0","0","0","0","Google Chrome","41.0.2272.89","0","","","0","5","0","4775",
"03/13/2015","11:32:13","","http://www.sony.co.uk/electronics/compact-cameras/t/cyber-shot-digital-cameras?bestfor=expert-capability&perf=13Mar1500pmsl_gp","3732","765","","22133","12987","1","1","19","12","3","2","0","4","0","787","","","","4114","","","","","0","","","2","0","3732","","","1","0","0","-1","100","-1","100","-1","-1","100","6725","3034","1","1","18","11","3","2","0","0","-1","","","-1","","","","765","200","4694","0","","","0","0","0","1","","1843","","Digital Cameras | Small & Compact Digital Cameras | Sony UK","284","2115","2992","815","997","4087","Google Chrome","41.0.2272.89","12","39","","0","5","0","4775",
"03/13/2015","11:32:24","","http://www.sony.co.uk/electronics/cyber-shot-compact-cameras/dsc-rx100m2?perf=13Mar1500pmsl_pp","3539","848","","38638","457384","8","14","34","26","4","2","0","2","0","889","","","","7994","","","","","0","","","2","0","3539","","","1","32","90","-1","100","-1","100","-1","-1","100","6712","3339","0","0","5","3","0","2","0","0","-1","","","-1","","","","848","200","324080","0","","","0","0","0","1","","1858","","Wireless Camera with High ISO Sensitivity | DSC-RX100 II | Sony UK","286","3483","4262","892","1147","7289","Google Chrome","41.0.2272.89","12","39","","0","5","0","4775",
